"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"DANILO RAMAZZOTTI IHF","daniloramazzotti.com","IT","VAPRIO D'AGOGNA","CANDIDATE B","MANUAL","1-MANUAL","Hand-painted majolica with an open-ended format and colour space and a technical staff doing the visualising. Strong || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Dedicated technical staff realise projects working on free forms, formats and sample colours; everything made by hand in-house; explicitly offering to go beyond standard production to a true made-to-measure project","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Design Services","Le nostre produzioni vengono realizzate tutte con materiali naturali coniugati da un design e ricercatezza, sia estetica che produttiva coniugando così elementi naturali e tecniche artigianali complesse e meticolose, il tutto con gusti e stili temporali che si mantengono negli anni.
 
Punto di forza nonché particolarità del brand è la straordinaria capacità produttiva che permette alla Danilo Ramazzotti di essere produttore unico di cotto, maiolica , marmi e pietre. Tutte queste materie vivono della stessa luce e della stessa importanza poiché vengo prodotte all'interno dei nostri stabilimenti.
 
#maioliche #ceramiche #cotti #marmi #pietre #handmade"
"DURSTONE","durstone.es","ES","ONDA  (CASTELLÓN)","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A Simulador 3D (Spark Blueprint) plus the Finzzi platform","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Wholesale Building Materials","Durstone es una empresa española dedicada principalmente a la comercialización de gres porcelánico. Nuestros productos se sitúan en el nivel más elevado de su gama siendo reconocidos entre los profesionales tanto por su calidad como por su estética.
En Durstone convivimos un equipo humano dinámico,  multidisciplinar y con amplia experiencia en el mercado cerámico. Desde hace casi 10 años ofrecemos colecciones diferentes, que dan un paso más allá de los comúnmente denominados ""materiales de construcción"". Sabemos las grandes cualidades técnicas de nuestros productos y potenciamos su vertiente estética y decorativa para ofrecer soluciones adecuadas a las necesidades de arquitectos, decoradores y distribuidores. Conócenos.

DURSTONE is a Spanish company which deals with porcelain tiles. Our products are recognized by professionals both for its technical quality and aesthetic characteristics.
In DURSTONE we are a dynamic and multidisciplinary team with a well experienced in the ceramic market. Since almost 10 years we offer a good range of collections, who step beyond the commonly called ""building materials"". We know about the great technical qualities of our products and we make an effort to show their decorative and aesthetically side and to provide solutions to the needs of architects, decorators and dealers. Meet us."
"EDIMAXASTOR","edimaxastor.it","IT","SOLIGNANO DI CASTELVETRO","CANDIDATE B","NONE","2-NONE","Worth noting the trap: in Italian tile marketing 3D almost always means a relief SURFACE, not a 3D room tool || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","No tool. Their 3D Shaped Technology is a PRODUCTION process for surface realism, not a customer-facing tool","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","EDIMAX ASTOR CERAMICHE produces high-quality, Made in Italy porcelain stoneware with colored body mixtures for floors and walls, featuring innovative designs and a wide range of surfaces, colors, and sizes.

Each collection is the result of targeted research aimed at interpreting national and international trends, catering to different market segments and offering professionals in the field extensive aesthetic and functional solutions.

The production process is entirely eco-sustainable, thanks to the recycling of water and raw materials, a 1.6-megawatt photovoltaic system, and a thermal unit with controlled CO2 emissions."
"ELIOS CERAMICA","eliosceramica.it","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Nothing at all returned for the domain. The site may be dead or unindexed. Verify it resolves before any outreach","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Founded in 1968, Elios Ceramica has always specialised in small sizes, carrying on the value of Italy’s ceramics tradition with on-going innovation, artistic ceramics promoting Italian design every day.
Materials and colours come together in products reflecting all the charm of hand craftsmanship.
Elios’s collections express all the value of true Italian ceramics with their material textures, precious enamels and refined decorative motifs. Our surfaces are the product of a contemporary ceramic culture with roots that go back over twenty centuries of art and history."
"ENERGIEKER","energieker.it","IT","PAVULLO NEL FRIGNANO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","3D Structures are Flow and Groove surface textures, a product not a tool","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","201-500 employees","Construction","Excellent Italian Surfaces

Siamo specialisti in eccellenza ceramica e partner globale dell’architettura perché offriamo ogni tipo di soluzione stilistica e tecnologica per rispondere in modo completo, innovativo e proattivo alle esigenze di progettisti e utilizzatori finali ovunque nel mondo.
Siamo credibili perché siamo autentici e siamo autentici perché mettiamo tutto nel nostro lavoro: cinquant’anni di esperienza, cinquecento quaranta dipendenti, oltre tremila clienti, due stabilimenti, tre marchi, cinque sedi nel mondo, ottanta collezioni costantemente rinnovate.
Stiamo vicino ai nostri clienti ovunque siano, ascoltiamo le loro esigenze con attenzione, rispondiamo con una gamma ampia e profonda di collezioni ceramiche eccellenti per stile, tecnologia e passione innovativa.

We are specialists in ceramic excellence and a global partner in architecture because we offer all kinds of stylistic and technological solutions to respond comprehensively, innovatively and proactively to the needs of designers and end users everywhere in the world.
We are credible because we are authentic and we are authentic because we put everything into our work: fifty years of experience, five hundred and forty employees, more than three thousand customers, two factories, three brands, five locations around the world, eighty constantly renewed collections.
We stay close to our customers wherever they are, listen to their needs carefully, respond with a wide and deep range of ceramic collections that are excellent in style, technology and innovative passion."
"ESTUDIO CERAMICO","eceramico.com","ES","SAN JUAN DE MORO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Catalogues, collections and a designs gallery. Small-format tile factory","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","At Estudio Cerámico we combine design and tradition, to be at the forefront of ceramic trends. Our collections reinvent the concept of creating ceramics, where detail is taken care of, providing solutions to give personality to the most exclusive spaces."
"FAP CERAMICHE","fapceramiche.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","3D here means relief wall panels and Decor Box, products not tools","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale Building Materials","Fap ceramiche produces high quality tiles for floors and walls of the bathroom, the kitchen and all the rooms of the house. 

Fap ceramiche offers products and solutions able to represent and project onto the bathroom and the home the personality of the people who live there. Our company philosophy is a vocation to create timeless products that set hearts racing. Fap ceramiche collections combine the heritage of ceramic tradition with the pursuit of contemporary design. Our aim is to offer a fresh take on ceramic wall coverings every time: Fap ceramiche is an outstanding, top-quality brand able to innovate by offering a balanced mix of the traditional and the modern, of technical quality and a creative touch. With Fap ceramiche products, a dream home is no longer a luxury for the chosen few, but a real opportunity within everyone reach."
"FORNACE SUGARONI VINCENZO","sugaroni.it","IT","CASTEL VISCARDO","CANDIDATE B","MANUAL","1-MANUAL","Custom means cutting a new mould. Real, but the pattern space is narrow and the medium is structural terracotta || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Handmade terracotta since 1685. Customer services include creating MOULDS for custom formats, personalised finishes and effects, and technical collaboration","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Construction","La fornace Sugaroni, una delle più antica d'Italia, produce cotto fatto a mano dal 1500, oltre 5 secoli sempre con la stessa passione artigiana e cura dei particolari. 
I prodotti sono 100% Made in Italy. Ogni mattone viene realizzato a mano come da tradizione.
Numerosi gli elementi classici come numerose sono le linee innovative, dal Nero Etrusco, cotto Nero Etrusco, nero in pasta senza coloranti aggiunti, alle linee dei Colori delle Terre agli Smalti, alla Linea Cottine, completamente colorata e dipinta a mano....."
"GAZZINI","ceramicagazzini.it","IT","RUBIERA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections plus personalised expert advice and consulting sessions","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","CERAMICA GAZZINI costituisce una delle più importanti realtà nel settore ceramico. 
Da oltre cinquant'anni offre prodotti innovativi e di alto valore estetico. La vasta gamma di collezioni si colloca in ogni ambito progettuale, per arricchire architetture di ogni tipologia sia pubblica che residenziale, per soluzioni interne o esterne.
Il nostro MADE IN ITALY è riconosciuto a livello internazionale per l'altissima qualità.
Le tendenze progettuali sono sempre più orientate alla ""sostenibilità "", una filosofia da sempre presente in CERAMICA GAZZINI. Una scelta etica nel rispetto dell'ambiente, senza rinunciare a stile e funzionalità. 
.
.
.
CERAMICA GAZZINI is one of the most important companies in the ceramic industry. 
For over fifty years, it has been offering innovative products of high aesthetic value. The wide range of collections can be found in every design area, to enrich architectures of all types, both public and residential, for indoor or outdoor solutions.
Our MADE IN ITALY is internationally recognized for the highest quality.
The design trends are increasingly oriented towards ""sustainability "" a philosophy that has always been present in CERAMICA GAZZINI. An ethical choice that respects the environment, without sacrificing style and functionality"
"HARMONY","harmonyinspire.com","ES","ONDA ( CASTELLON)","CANDIDATE B","ADVANCED","4-ADVANCED","A design house WITH a configurator. The clearest single test of the has-a-configurator A/B: they already invest in both design and tooling || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A 3D tool at /3d headed Configura un ambiente, Disena tu proyecto. Also runs named-designer collections (MUT, Dsignio, Estudi{H}AC)","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Its wall and floor tile collections aspire to stand out from all the rest. With quality, innovation and superior design as our key values, we offer ingenious tile solutions conceived to bring a distinctive touch of personality to settings.  

At Harmony, we lend special importance to the design process, working with design studios worldwide to develop products that are simply unique. These studios share the same value that Harmony places on research, innovation and pioneering new ideas. Luca Nichetto, Jin Kuramoto, Yonoh, Stone Designs, Mut and Dsignio have created exclusive collections for Harmony that break away from conventional wall and floor tiles. 

Ceramic tiles, mosaics, and designs featuring marble, resin or glass: exclusive designs conceived to infuse living spaces with charisma and personality."
"Hohenberger Manufaktur für Tapeten I Taubert GmbH & Co. KG","hohenberger-wallcoverings.com","DE","Hohenberg an der Eger","CANDIDATE B","NONE","2-NONE","Checked deliberately: a cookie Configure button is the most common false positive in this kind of scan || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Shop and product pages only. The word Configure on the site is the cookie banner, not a design tool","in scope","hand-verified on 14 Sept: PASS. Third-generation Bavarian wallpaper manufactory, ~90 years, produces only in Germany, PVC and plasticiser free. Runs both modern digital printing and traditional techniques, ","Murals & Wallcoverings","Heimtextil 2027","5M-10M","11-50 employees","Manufacturing","Seit fast 90 Jahren - in der mittlerweile dritten Generation - stellen wir Tapeten her. Auch heute noch mit viel Handarbeit und ganz viel Liebe zum Detail. Tapeten aus Hohenberg werden - ausschließlich in Deutschland - besonders nachhaltig produziert und sind zu hundert Prozent frei von PVC, Weichmachern und Lösungsmitteln. 
Dabei kommt modernster Digitaldruck genauso zum Einsatz wie traditionelle Drucktechniken. Tapeten aus Hohenberg schmücken Schlösser und Museen, Bars und Lounges, Hotels und Büros, Geschäfte und Wohnungen nicht nur in Deutschland, sondern auf der ganzen Welt. 
.
.
We’ve been producing wallpapers for almost 90 years with a lot of craftmanship and great attention to detail and are now in our third generation.
Here at Hohenberger we produce all our wallpapers without any PVC whatsoever. Our paint and coating systems are water-based, so they guarantee 100% healthy living.
Our wallpapers adorn castles and museums, bars and lounges, hotels and offices, shops and apartments – not only in Germany but around the world."
"INFINITY™","infinitysurfaces.it","IT","PAVULLO","CANDIDATE B","MANUAL","1-MANUAL","Downgrade: most output is countertops and furniture, which is 3D, and the buyer is a stonemason or interior designer || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Consultants evaluate design requirements and possible finishes per project; bespoke kitchen tops, vanities, tables and furniture elements from 160x320 slabs","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Building Materials","Infinity was founded from the industrial expertise of Gruppo Concorde, the largest Italian manufacturer of porcelain surfaces for architecture and interior design. 
The company specializes in the production of large-format porcelain slabs for floors, wall cladding, kitchen countertops, custom-made furnishings, and architectural façades."
"ITA-I.TILES","itaceramiche.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Design, production and distribution of Italian ceramic surfaces. Product pages only","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Building Materials","ITA-ITILES, born in 2018, is an Italian young and dynamic company specialized in the industrial production of porcelain stoneware tiles; its new production plant is equipped with ultra-modern 4.0 production lines supported by ecofriendly kilns equipped with the best heat recovery systems for a production capacity of eleven million square meters / year. The product mix offers the international market all sizes starting from 120x120 cm down to 20x20 cm for innovative ceramic surfaces with a strong Made in Italy vocation and aimed at both large-scale distribution and retail market through USA, Canada, Europe, Middle East and Far East, always placing great care and attention to the technical and aesthetic content of each collection manufactured."
"Images In Tile USA, Inc. dba Bison Coating & Supply","imagesintile.com","US","Joplin","CANDIDATE B","MANUAL","1-MANUAL","The product is literally image-to-tile-mural and the ordering path is a quote. Exact fit || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Any image applied to ceramic, porcelain, stone or glass tile, plus customer-supplied tile work. No self-serve upload or preview surfaced","in scope","hand-verified on 14 Sept: PASS. Full TCNA name resolved: Images In Tile USA, Inc. dba Bison Coating & Supply. Two businesses, two domains. imagesintile.com is the one that matters: custom tile murals, any i","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Images In Tile, USA is the premier manufacturer of custom tile murals, uniting craft and science. Our canvases are ceramic, porcelain, glass and stone. We love big ideas, no project is too big or too small to create. Let's turn your imagination into reality."
"Jerusalem Heights","jerusalemheights.com","US","Milford","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Preset marble mosaic patterns: basketweave, herringbone, hexagon, Paris stripe, mini brick","in scope","hand-verified on 14 Sept: PASS. A producer and manufacturer of natural stone mosaic tile, premium marble mosaics for backsplashes, shower floors and walls. Makes its own mosaics in Connecticut. On-niche and","Tile / Stone (verify)","Coverings 2027","10M-25M","","",""
"KEOPE","keope.com","IT","CASALGRANDE","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Match App at /tiles/design-your-room: a laying simulator and tile configurator. Upload a photo of your space and see tile combinations in real time","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale Building Materials","Our industrial expertise in porcelain stoneware translates into collections where Italian design meets technological innovation.

From indoor elegance to outdoor durability, we craft versatile surfaces that seamlessly integrate with both natural landscapes and urban environments, while our sustainable approach and attention to detail reflect our commitment to excellence since 1995."
"KT Exclusive GmbH","kt-exclusive.com","DE","","CANDIDATE B","BASIC","3-BASIC","Custom SIZING is solved; custom DESIGN is not. The portal proves they will buy and run web tooling || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A Tailor made page, digital murals printed to your wall's dimensions on several materials, a wallpaper quantity calculator, and the Muance B2B portal for ordering standard or custom-sized murals","in scope","hand-verified on 14 Sept: PASS. Founded 1996 as a manufacturer and editor of high-end wall coverings and fabrics. 'Editor' is the trade term for commissioning and publishing original collections, which is t","Murals & Wallcoverings","Heimtextil 2027","5M-10M","","Wholesale","KT-Exclusive is a manufacturer of wall coverings and noble fabrics."
"LA FABBRICA AVA","lafabbrica.it","IT","RUBIERA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Their Imagine series is wallpaper-effect tile, a product not a tool","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Building Materials","Siamo LA FABBRICA AVA, brand leader nel settore dei pavimenti e rivestimenti,  dedicato a trasformare i vostri spazi in autentiche opere d’arte. 
Ci contraddistinguiamo per “l’alta qualità di prodotto”, il “design innovativo” e la “creatività”. 
La nostra passione per l’eccellenza ci guida in ogni fase, dalla progettazione all’interior design e si riflette nelle collezioni all’avanguardia che creiamo. 
Le nostre soluzioni sono supportate dalle tecnologie più avanzate, il che ci permette di soddisfare le esigenze tecniche più complesse dell’architettura e dell’interior design. Il risultato?
 Uno stile unico ed elegante, tipicamente “Made in Italy”."
"LIFE CERAMICA","lifeceramica.com","ES","ALCORA","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A /3d page exists on their own domain, but the indexed content is the cookie notice, so the tool could not be confirmed. Treat as probable, verify by eye","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Fundada en 1984, y dedicada a la fabricación de revestimientos cerámicos y pavimentos porcelánicos en pequeño formato, así como colecciones en 3D. Nuestros productos recuerdan la tradición y raices históricas de nuestra cerámica. Es una nueva muestra de las terracotas esmaltadas hechas a mano capaces de conectar de nuevo con el pasado. Nuestro objetivo es dar la mejor atención a nuestros clientes, esperando que con nuestras propuestas puedan encontrar los productos que se adaptan a sus necesidades. Con una contstante inquietud de ofrecer productos innovadores así como de excelente calidad y diseño. 

The company was established in 1984, dedicated to the production of Wall tiles and porcelain floor tiles in small sizes, and 3D Tiles as well. Our wall tiles collections remind us the tradition and historical ceramic roots, it is a new sample of the manual glazed terracottas, capable of reconnecting with our past. Our goal is give the best service to our clients, hoping that with our proposals they will find products to meet their needs. The Company is driven by tis ongoing interest in offering innovative products, as well as excellent quality and design."
"MARCA CORONA","marcacorona.it","IT","SASSUOLO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","4D and 3D here are textured tile collections, plus a Mix and Match style guide. No tool","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","Marca Corona produces first-class ceramic flooring and wall tiles since 1741. They combine best technical performances with the unmistakable style of Made in Italy.

For over 2 centuries, Marca Corona has headed the development of the ceramic industry, using increasingly advanced techniques and aesthetic inspirations and launching new trends in ceramic design.

Each Marca Corona collection is the perfect combination between the best in class production technologies and the constant research in latest fashion and design trends. The products combine aesthetic refinement and technical performances, in order to meet the requirements of both comfortable private living and architectural planning  thanks to new, large sized, rectified slabs.

The Marca Corona collections are distributed world-wide to convey the values of Made in Italy: aesthetic elegance and technological innovation. All our tiles indeed are designed and manufactured entirely in Italy."
"MIRAGE","mirage.it","IT","PAVULLO NEL FRIGNANO","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","30+ collections and an invitation to imagine your bathroom, bedroom or living room and create your space with the configurator","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Welcome to the Mirage community on Linkedin
News, ideas, discussions, and pics on our collections for contemporary Architectural.

Mirage designs and produces porcelain stoneware floors and coverings for commercial, public and residential spaces.
Through solid expertise and ""know-how"", Mirage is able to install ceramic solutions that can enhance any design theme in an environmentally-friendly manner. The staff at Mirage have been designing new living solutions for 40 years, collaborating with more than 160 countries around the world. They place a strong focus on the latest trends and constantly carry out innovative research.

Mirage is a guarantee of stability and reliability, ensured by solid experience that has marked milestones in the development of porcelain stoneware. Thorough knowledge of materials, combined with hard work in research and development, has allowed Mirage to offer ever-more innovative solutions synonymous with reliability and quality."
"MONOCIBEC","monocibec.it","IT","SASSUOLO","CANDIDATE B","ADVANCED","4-ADVANCED","Tool plus a human engineering service behind it. Same group as Fincibec || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Thema lets you observe and design an environment at the same time. Separately, Fincibec Engineering supports designers with special-piece proposals and estimates","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Fincibec Group is a world industrial leader in the production of ceramic coverings for floors and walls. It strives to be a point of reference for the most demanding consumers, so that planners, architects and interior designers to interpret modern design trends in the most effective, aesthetically pleasing and versatile manner.  
In the early 1960s, Fincibec began manufacturing floor tiles with fine porcelain stoneware ceramic under the Cibec brand. In 1970, it started producing clear single-fire frost-resistant flooring and the production range was then completed with the introduction of decorative tiles for covering on white paste.  
The Group is focused on ongoing investment in technology and research, to create highly innovative products that meet current and future design needs. A complete and extensive range of formats, sizes, finishes and special pieces are presented in the catalogues for Monocibec, Century and Naxos, the three companies that make Fincibec products all over the world.   
Monocibec is a point of reference for the creation of fine porcelain stoneware products that combine elegance and innovation. Century offers architects and designers a vast selection of inimitable collections that are versatile and high performing. Naxos constantly strives to improve the look of its products and uses the most innovative ceramic technologies for modern design needs. 
Fincibec has three production facilities in Sassuolo (Monocibec), that is also the site of the administrative and management office, Roteglia (Century) and Solignano (Naxos), with annual production capacity of 10 million square metres and 3 logistical platforms within the district."
"Malibu Ceramic Works","malibuceramicworks.com","US","Topanga","CANDIDATE B","MANUAL","1-MANUAL","A face-to-face design meeting is the most expensive version of this bottleneck there is || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Full-spectrum design services for residential and commercial projects, with designers who MEET WITH YOU and guide you through the design process. Rug tile murals and flower pot murals are named product lines","in scope","hand-verified on 14 Sept: PASS. Founded 1979. Reproduces historic California tile: Malibu, Catalina, Hispano Moresque, Batchelder. Explicit tile murals and custom tile pages.","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","Over the past 30 years MALIBU CERAMIC WORKS has established itself as a local art treasure.
We specialize in the production of custom handmade decorative tile, most notably Malibu Tile and terra cotta paver tile for both commercial and residential projects. Our handmade decorative tile and terra cotta pavers are ideally suited for both contemporary and classic installations. Perfect for interior and exterior applications such as kitchens, bathrooms, pools, spas, fountains, stair risers, walkways, paving and patios. Malibu Ceramic Works specializes in the production of historic California tile such as Malibu Tile, Catalina Pottery Tile, Handcraft Tile, Hispano Moresque Tile, Batchelder Tile, D&M Tile, Classic Subway Tile, Santa Monica Brick Co. Tile, Custom Tile, Murals and countless others. We work closely with architects, designers and builders making innovative design concepts and reality everyday."
"Marazzi/American Olean","marazziusa.com","US","Dallas","CANDIDATE B","ADVANCED-AI","5-ADVANCED-AI","THE CLOSEST COMPETITOR TO MEC ARTWORKS AI FOUND ANYWHERE IN THIS DATASET, and it is Mohawk/Dal-Tile, the largest player in the vertical. AI styling from a photo is live and free. This resets what counts as differentiated: room styling is commoditised, originating a bespoke PATTERN is not || DIRECT COMPETITOR. Already ships AI styling. Do not pitch the generic AI story, they will out-resource it. Only a pattern-origination angle survives here, if anything does","TWO tools. Stylizer: upload your own photo or pick a room scene, design with floor, wall and mosaic tile, save and share. And STYLIZER AI, headed AI Interior Design Starts Here: upload a photo, choose a style such as Scandinavian, Modern Farmhouse or Bohemian, and AI instantly suggests tile selections styled to that look. Also runs Roomvo","in scope","hand-verified on 14 Sept: FLAG enterprise. Two brands, both Dal-Tile and therefore Mohawk: Marazzi since 1935, American Olean since 1923. Genuine design operations but a 200+ enterprise, which per the S7.4 ","Tile / Stone (verify)","Coverings 2027","200M-500M","501-1,000 employees","Glass, Ceramics and Concrete Manufacturing","With a bold vision for the future, Marazzi built the first Italian-owned ceramic manufacturing plant in the U.S. in 1982, assuring domestic access to world-renowned technology and style.  Manufacturing a vast array of quality tile products, including porcelains, glazed ceramics, glass mosaics, natural stones and metallics, the brand continues to evolve for the savvy homeowner and designer.  
Bold, daring and occasionally over the top, Marazzi provides captivating designs that integrate Italian style into exciting and imaginative environments."
"McIntyre Tile, Inc.","mcintyretile.com","US","Healdsburg","CANDIDATE B","MANUAL","1-MANUAL","A physical trial-and-error loop with kiln firings per iteration. The slowest approval cycle on the list || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","The Custom Solutions page: send an existing tile, a paint chip or a material sample, and the technical team evaluates tone, variation and reflection, then adjusts and TESTS GLAZE RECIPES AND FIRING CONDITIONS until it matches. Orders only through customer service or a retailer","in scope","hand-verified on 14 Sept: PASS. Handmade ceramic tile in Healdsburg since 1972. Has a retailers page, so sells to the trade.","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","For over 50 years, McIntyre Tile has been producing handmade ceramic tile in the heart of Healdsburg, California. Our tiles feature timeless glazes and durability designed to last generations.

Dedicated to creativity and quality, we lead the industry through innovation, imagination, and attention to every detail. Our tiles are crafted using fine porcelain and stoneware clays, and our spectacular high-temperature ceramic glazes are unmatched in the industry. Our inventive, unique, and always beautiful tiles and hand-cut mosaics are available in a broad range of shapes and sizes, and we have a line of creative and delightful decorative relief tiles ideal for accents in special settings.

Our small but mighty team is unwavering in our dedication to their craft, turning precision and devotion into every tile we create. We are passionate about expressing the beauty of art and nature in every handmade tile that is made-to-order, beautiful, durable, and unlike any other."
