"company","domain","country","Size","Annual Revenue","segment","lead_persona","dm_targets","Use AI Tool Level","Use AI Has Tryon","Use AI Has Prompt","Use AI Product Category","Use AI Tool Url","Use AI Tool Evidence","rank_score"
"CERAMICHE SAN NICOLA FONDATA DAL RAG. D'INTRONO","ceramichesannicola.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","porcelain stoneware tiles","","The homepage presents a named product, “BOCCIARDATI Variante Grey,” but the available official content contains no stated visualizer, configurator, room planner, prompt-based generator, or other customer-facing design tool.","81"
"CISAL","huberitalia.com","IT","201-500 employees","75M-200M","1-MANUAL no tool","Design / Product","Head of Digital (park)","MANUAL","no","no","thermostatic taps and mixers","https://www.huberitalia.com/harlock","The Harlock customisation offer states: ""The products in the Harlock collection give you the possibility of customizing the finish and colours of your mixer"" (""I prodotti della collezione Harlock offrono la possibilità di personalizzare le finiture ed i colori del tuo miscelatore""). No interactive visualizer, room-preview configurator or AI/prompt tool was found anywhere on the site.","81"
"DA VINCI CERAMICA","ceramicadavinci.com","ES","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","Ceramic tiles and pieces","","The site states, “Somos fabricantes de piezas especiales y de todo tipo de decoración” and says it offers “soluciones a medida.” The reviewed site content does not identify a customer-facing visualizer, room preview, configurator, or text-prompt generator.","81"
"DUE G CERAMICHE","duegceramiche.com","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","porcelain stoneware tiles","","No design tool was found in the main navigation, collections pages, or footer; the site offers only product collections and a contact form. Navigation is limited to Collections (Stone/Wood/Marble/Cement-Resin effects), a company page, and a Name/Email/Message contact form.","81"
"ESTUDIO CERAMICO","eceramico.com","ES","201-500 employees","75M-200M","1-MANUAL no tool","Design / Product","Head of Digital (park)","MANUAL","no","no","ceramic tiles and coverings","https://eceramico.com/contacto/","The site says, “Nuestro equipo de comerciales son expertos en asesoramiento para tu proyecto” and invites visitors to “Solicita una reunión con nosotros.” No interactive room visualizer, uploaded-photo preview, or text-prompt generator is stated.","81"
"FLOOR ITALIA CERAMICHE","flooritaliaceramiche.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","porcelain stoneware tiles","","The site links to “PRODUCT BOOK 2.5” and “KINGSMAN COLLECTION 60x120.” No customer-facing visualizer, configurator, room-preview, upload, or prompt feature is identified on the visible site.","81"
"GAZZINI","ceramicagazzini.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","ceramic tiles and surfaces","","The site describes “Uno Showroom progettato per chi progetta” and “Un ambiente pensato per ispirare architetti e progettisti.” Its navigation lists collections, effects, showroom, company, downloads, and contact, but does not state an interactive visualizer, configurator, or prompt-based design tool.","81"
"GLASS DESIGN","glassdesign.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","designer bathroom washbasins","","The site presents “PRODUCTS WASHBASINS” and “DOWNLOAD CATALOGHI,” alongside “Ultime News” and “CONTATTI,” but no customer-facing visualizer, configurator, room planner, or prompt-based design feature is stated.","81"
"LACUS","lacus.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","shower enclosures, trays, accessories","","The site promotes an “online catalogue” and lists “Custom solutions” and “Bespoke solutions,” but it does not present an interactive visualizer, configurator, room preview, image-upload tool, or text-prompt generator; therefore no customer-facing design tool is evidenced.","81"
"LIFE CERAMICA","lifeceramica.com","ES","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","small-format ceramic wall tiles","","The homepage calls the linked experience a “Cersaie 2023 virtual tour,” while the separate page contains only the labels “3D” and “Life Céramica.” No customer-facing room preview, product composition tool, or text-prompt visual generator is stated.","81"
"MANETTI GUSMANO & FIGLI","cottomanetti.com","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","terracotta flooring and cladding","","The site describes “a collection of complements and accessories” and a “Working with Cotto Manetti” project offering, but its public product and project pages do not identify a customer-facing visualizer, configurator, room preview, upload-photo feature, or text-prompt generator.","81"
"PH DESIGN","phdizayn.com","TR","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","stainless steel drainage systems","","The homepage lists “Shower Drains,” “Floor Drains,” and “Technical Profiles,” and describes a “DOUBLE WATER DRAIN SYSTEM” and “INVISIBLE SYSTEM”; no customer-facing visualizer, room preview, configurator, upload, or text-prompt feature is shown.","81"
"PROGETTO IDEA STELLA","ideastella.com","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","bathroom furniture collections","","The site highlights “New collections” and individual “Bathroom collection” pages, while describing customer service as support “from product information to after-sales service.” No customer-facing visualizer, configurator, room planner, or prompt-based generator is identified.","81"
"QUINTESSENZA CERAMICHE","quintessenzaceramiche.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","design porcelain tiles","","No design tool was found: the site navigation offers only About us, Collections, Last Stock, Blog and a Download/reserved area, and the 'Merchandising 2022' page describes a physical 'Merchandising system' presenting the QC collections in showrooms, not a customer-facing digital design or visualization tool.","81"
"RELAX DESIGN","relaxdesign.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","bathroom fixtures and accessories","","The site describes White Label as a collection of bathroom products and accessories and provides individual product pages such as Boxy Round S; the reviewed shop and product pages contain no stated visualizer, configurator, room preview, upload feature, or prompt-based design tool.","81"
"SQ MOSAIC","sqmosaic.com","ES","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","glass swimming-pool mosaics","","The site's navigation lists “Home Collections About us Contact,” while the product pages offer “Download catalogue” and “Download new products.” No customer-facing visualizer, configurator, room preview, or text-prompt generator is stated on the inspected pages.","81"
"TERRATINTA GROUP","terratintagroup.com","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","ceramic tiles and surfaces","","The site presents “COLLECTIONS,” product categories, rooms, applications, projects, and downloads, but no visualizer, configurator, room-preview, upload-based tool, or text-prompt feature is stated; therefore the tool level is NONE.","81"
"WEBERT","webert.it","IT","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","bathroom and kitchen faucets","","The accessible site content presents product collections, catalogue downloads and professional contacts, but does not describe a room preview, product configurator, interactive visualizer or text-prompt generation feature; therefore no customer-facing design tool was verifiably classified.","81"
"TIEIC Ceramics","tieic.com","US","501-1,000 employees","75M-200M","1-MANUAL no tool","Design / Product","Head of Digital (park)","MANUAL","no","no","ceramic and porcelain tiles","https://www.tieic.com/","The site's custom offering is human-delivered: 'You Dream It, We Make It' and 'Dream of a perfect tile? We make it happen with endless product, packaging & delivery customisation options', handled via 'REQUEST A MEETING' and local sales reps. Product pages offer only filters (Effect, Surfaces, Size, Finish) with no composed preview, and no visualizer, configurator or AI tool appears in the main navigation.","81"
"Bankside Decor Ltd (Ohpopsi)","ohpopsi.com","GB","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","bold decorative wallpaper","","The homepage describes “BOLD WALLPAPER DESIGNED & PRINTED IN THE UK,” while the wallpaper page presents named products and prices; these pages contain no stated visualizer, room preview, photo upload, configurator, or prompt-generation feature.","81"
"Rafias Prisim Textil S.r.l.","rafiasprisim.com","AR","11-50 employees","5M-10M","4-no design step","Marketing","Owner / Founder","NONE","no","no","flat-weave textile fabrics","","The site provides catalogue sections and an “Explore Full Catalog” link, while its navigation lists standard company and catalogue pages; no visualizer, configurator, interactive 3D tool, upload preview, or prompt-based design feature is shown.","81"
"41ZERO42","41zero42.com","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","designer ceramic tile collections","","The official navigation lists “Collections,” “Timeline,” “Projects,” “About,” “Contacts,” and “Downloads,” while the collections page enumerates the brand’s tile collections; no visualizer, configurator, room-preview, upload, or prompt feature is stated.","80"
"AB (AZULEJOS BENADRESA)","azulejosbenadresa.com","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic and porcelain tiles","","The homepage exposes a “virtual_experience” link and standard “Product,” “Downloads,” and “News” navigation, but the reviewed site content does not describe an interactive room preview, uploaded-photo try-on, product composition tool, or prompt-based generator; therefore the tool level is NONE. The “virtual_experience” link alone is not evidence of a qualifying design tool under the stated rules.","80"
"ABYSM BY OSET","oset.es","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic and porcelain tiles","","The site says “Descubre nuestro catálogo” and provides “CONTACTE CON NUESTRO EQUIPO,” but its relevant content shows no interactive visualizer, configurator, room preview, upload-photo feature, or text-prompt generator.","80"
"ACL","aclweb.pt","PT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","tiles, flooring and slabs","","The ACL homepage describes “a variety of wall tiles, flooring and slabs, concrete products” and creating unique environments, but the reviewed ACL pages provide no evidence of a customer-facing design or visualization tool.","80"
"ALTTOGLASS GROUP  / COBSA & ALTTOGLASS","alttoglassgroup.com","ES","2-10 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","glass mosaics and porcelain tiles","","The site navigation lists “Catálogo,” “Product,” “Inspiration,” “Company,” and “Contact,” while the company describes its manufacturing and product range without stating that it offers an interactive visualizer, room preview, configurator, or prompt-based design tool. The highest supported tool level is NONE.","80"
"BATIK - XCLUSIVE","xclusiveceramica.com","IT","2-10 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","ceramic and porcelain tiles","","The site describes “Ceramic and porcelain tiles made in Italy in a variety of refreshing designs and shades at the highest level” and exposes a “SEARCH” page, but no customer-facing visualizer, configurator, room-preview, or prompt feature is evidenced.","80"
"CERDOMUS","cerdomus.com","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic surface tiles","","The site labels its product area “Product search” and lists collections including “Stone,” “Concrete,” and “Cotto.” Its home page describes collections as “true style solutions,” but the reviewed official content contains no customer-facing visualizer, configurator, room-preview, upload, or text-prompt feature; therefore the tool level is NONE.","80"
"CEVI CERAMICA VIETRESE","francescodemaio.it","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","hand-decorated majolica tiles","","The site navigation lists company, product, collection, and contact pages, while its product copy describes hand-decorated majolica tiles and tailored projects. No customer-facing visualizer, room preview, upload feature, or prompt-based design tool is stated; therefore the tool level is NONE.","80"
"COTTO VIVATERRA","vivaterra.it","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","terracotta tiles and flooring","","The official homepage navigation lists “Home,” “Company,” “Mission,” and “Brand,” with links to the company’s terracotta brands; no visualizer, configurator, room planner, upload-photo feature, or prompt-based design tool is stated.","80"
"DIANFLEX","dianflex.com","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","bathroom and heating supplies","","No design tool was found in the site navigation, brand pages, or product sections; the site presents only a product catalogue ('I Nostri Prodotti ... ULTIMI ARRIVI') and downloadable catalogues such as 'CATALOGO COPRIWATERGIUSTO 2026', with no visualizer, configurator, simulator or AI feature mentioned.","80"
"EDIMAXASTOR","edimaxastor.it","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","The site navigation lists “Profile,” “Collections,” “Downloads,” “News,” and “Contacts,” but does not identify a visualizer, configurator, room planner, or prompt-based design tool.","80"
"EL MOLINO -HIJOS DE CIPRIANO CASTELLO ALFONSO","elmolino.es","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","floor and wall tiles","","The site's navigation lists “Get inspired,” “PRODUCT,” “DOWNLOADS,” and “Technical Resources.” The technical-resources page describes content to “View and download,” but no visualizer, configurator, room preview, uploaded-photo try-on, or prompt feature is stated.","80"
"FAP CERAMICHE","fapceramiche.com","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic and porcelain tiles","","The site lists “Filter by Setting” and more than 30 named tile collections, while its purchasing page says “Trova il punto vendita più vicino” and describes selected retailers. No visualizer, configurator, room preview, upload, or prompt feature is stated.","80"
"FIORE RUBINETTERIE","fiore.it","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","bathroom and kitchen mixers","","The official site describes its concealed-body design as “an excellent solution” combining “functionality, aesthetics and flexibility,” but the reviewed official pages do not identify a customer-facing visualizer, configurator, room planner, or prompt-based design feature.","80"
"FONDOVALLE","fondovalle.it","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain tiles and slabs","","The site says, “Discover our ceramic collections for indoor and outdoor spaces and customise your rooms.” However, the available site content provides room and colour browsing, advanced search, projects, catalogues, textures, and technical data sheets rather than an interactive visualiser, uploaded-photo preview, or prompt-based generator.","80"
"GEOTILES","geotiles.com","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic tiles and flooring","","The site offers “Visit our virtual tour” leading to “Showroom de Geotiles Cerámica.” Its navigation lists collections, catalogs, technical solutions, recommendations, installation videos, and cleaning tips, but no qualifying design or prompt tool is described.","80"
"GYPSUM","gypsum-arte.com","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","architectural decorative products","","The site describes “Products for architecture and design made in plaster, laminated polystyrene, high-performance concrete” and exposes links for Contacts, Dealers, and Catalogues. No interactive visualizer, configurator, room preview, upload feature, or text-prompt design tool is identified on the reviewed site pages.","80"
"HOUSE DESIGN","house-design.it","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","bathroom accessories and furnishings","","The site provides “Technical information to download in pdf” and says “Contact us for further information,” but it does not state that it offers a visualizer, configurator, planner, prompt tool, or product preview feature.","80"
"JNJ MOSAIC","jnjmosaic.com","CN","201-500 employees","25M-75M","1-MANUAL no tool","Design / Product","Head of Digital (park)","MANUAL","no","no","glass mosaic tiles","https://jnjmosaic.com/services/mosaic-design-consultancy/","The site offers 'Design Consultancy – We bridge color aesthetics with material R&D, providing designers with full-spectrum support from vision to pixelated reality' and invites customers to 'Start Your Custom Project', i.e. bespoke design delivered by people rather than any self-service visualizer. No visualizer, configurator, room-preview, upload-photo, or prompt-based tool was found on the site.","80"
"KERADOM","keradom.it","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","No customer-facing visualizer, configurator, room planner, upload/photo tool, or prompt generator is identified. The site describes its Rooms content as helping users “Choose the best Keradom solutions” for a living area with harmonious floors and wall coverings, but does not describe an interactive preview.","80"
"LEA CERAMICHE","leaceramiche.it","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","The site describes Mix&Match with “Shape your vision” and compositional possibilities, then directs visitors to “Contact us to receive more information”; it does not state an interactive room/photo preview or text-prompt generator.","80"
"MAMOLI","mamoli.com","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","bathroom and kitchen faucets","","The site presents “Versatile Collections” and product “Typologies” including Bathroom, Kitchen, Wellness showers, and Professionals, but it does not state that customers can use a visualizer, room preview, configurator, or prompt-based design tool.","80"
"OIOLI","oioli.com","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","designer bathroom faucets","","The site uses the wording “Scopri le Collezioni” and lists faucet collections, while its product description says “Prodotti all’avanguardia, assemblati a mano.” No visualizer, configurator, room planner, uploaded-photo preview, or text-prompt generation feature is stated.","80"
"OPTIMUM SURFACES","optimumsurfaces.com","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","extra-large porcelain slabs","","The site describes its slabs as being “rendered in high resolution photographs” and says they are ready to take shape “on the drawing boards of the best designers.” No interactive visualizer, room planner, configurator, or prompt-based generator is identified, so the tool level is NONE.","80"
"PAA","paabaths.com","LV","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","bathtubs, washbasins, shower trays","","No customer-facing design, visualizer, or configurator tool was found anywhere on paabaths.com; the site offers only a product catalogue, materials pages (Cast Stone, Silkstone), and downloadable PDF booklets and price lists.","80"
"PANARIA CERAMICA","panaria.it","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain tile surfaces","","The site says “Search the most suited solution for you” and describes Panaria’s flooring and cladding products, but the reviewed pages do not state a visualizer, room planner, upload-based preview, or text-prompt generator.","80"
"PORCELANITE DOS","porcelanite.es","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic and porcelain tiles","","The site describes itself as a “Tile company and ceramic flooring” business and provides “See all tile series” plus a “Catálogo General 2026.” Its visible customer interaction is a contact form, with no stated visualizer, configurator, room planner, upload preview, or prompt-based design feature; therefore the tool level is NONE.","80"
"ROSAGRES","rosagres.com","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","The official site describes “High-quality Rosa Gres porcelain stoneware floors” and presents porcelain floor collections, but no customer-facing visualizer, room-preview, upload, or prompt feature is evidenced on the reviewed product pages.","80"
"SANTA MARGHERITA","santamargherita.net","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","marble and quartz surfaces","","The site describes Santamargherita as an Italian company that makes “exquisite marble and quartz slabs and tiles” and provides a dealer locator. No customer-facing design or visualization tool is identified in the reviewed official pages.","80"
"SETTECENTO VALTRESINARO","settecento.com","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain tile collections","","The homepage describes “ABACUS” as “an innovative ceramic system to visualize spaces through geometrical elements,” but it does not describe or expose a customer-driven room preview, image upload, configurator, or prompt-based generator.","80"
"SUPER INOX","superinox.it","IT","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","stainless steel faucets","","No design or visualization tool was found across the site's company, production, and craftsmanship pages; the site offers only product descriptions, an internal production overview, and a contact form for requests ('For any request or further information, please contact us at our office').","80"
"VENUX","venuxsurface.es","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","sintered stone surfaces","","No design, visualizer, configurator, or AI tool appears anywhere on the site; the closest offerings are a downloadable catalogue ('Download our complete catalog', 'General Catalogue 2026') and static style/finish/format filters on the collections page, with contact by phone or email ('call us or write us an email').","80"
"VITACER","vitacer.es","ES","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic tile products","","The company page states that Vitacer specializes in the “manufacture and sale of ceramic wall and floor tiles” and describes its tile ranges, but no customer-facing design or visualization tool is stated on the reviewed official pages. The available “3D” reference concerns micro-relief technology rather than an interactive room-design tool.","80"
"Syzygy Tileworks, Inc.","syzygytile.com","US","2-10 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","handmade ceramic tile","","The site describes Syzygy Tile as producing handmade ceramic tile and says, ""Each piece is made to order."" Its visible site functions include ""Search,"" store-finding, and contact links, but no visualizer, configurator, simulator, room preview, or AI prompt tool is stated or exposed in the reviewed pages.","80"
"The Tileworks of Bucks County","thetileworks.org","US","11-50 employees","1M-5M","4-no design step","Marketing","Owner / Founder","NONE","no","no","handmade ceramic tiles","","No design tool, visualizer, configurator, or AI feature was found anywhere on the site; the site content consists of tile history, factory tours, and an online shop listing fixed tile series, with no room preview, upload-photo, or text-prompt capability.","80"
"Bestview International Company","bestviewintl.com","US","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","tiles stone kitchen bath","","The site lists product collections such as “Mosaic&Tile Collection.pdf” and “2026-BATH COLLECTION.pdf” for download, while its project page describes product supply for commercial and hospitality projects. No interactive visualizer, configurator, room preview, upload-photo tool, or text-prompt design feature is stated.","80"
"Driftwood Design Labs","driftwooddesignlab.com","US","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","handcrafted ceramic tiles","","The site says its products are “designed in-house” and shows “Featured Products,” but the reviewed pages do not state a customer-facing visualizer, room preview, configurator, simulator, upload-photo feature, or text-prompt generator.","80"
"Favorita Marmi e Graniti SpA","granitifavorita.com","IT","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","natural stone slabs","","The site navigation lists “Exclusives,” “Collections,” and “Online Warehouse,” while the product section lists marbles, granites, onyx, quartzite, and semiprecious stones; no visualizer, configurator, room planner, or prompt-based design feature is stated.","80"
"International Wholesale Tile, LLC","internationalwholesaletile.com","US","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","tile, stone, and flooring","","The site navigation lists product lines, Tile Studio, Decor24, catalogs, and other resources, but no visualizer, configurator, room-preview, uploaded-photo, or text-prompt tool is identified. Therefore the highest evidenced tool level is NONE, with no tool URL.","80"
"Jeffrey Court","jeffreycourt.com","US","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","decorative tile collections","","The site labels its relevant section “Get Inspired” and “View Gallery” and provides product and chapter browsing, but it does not state an interactive visualizer, configurator, room planner, upload-photo preview, or AI prompt feature.","80"
"Stover's LLC","stoversliquidation.com","US","51-200 employees","25M-75M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","flooring, tile, home products","","The site organizes shopping under “Shop by Category” and presents “Featured Products” and “Current Top Sellers.” No customer-facing visualizer, room planner, configurator, uploaded-photo preview, or text-prompt generator is stated on the reviewed pages.","80"
"ACQUABELLA","acquabella.com","ES","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","bathroom shower products","","The site says Acquabella focuses on professionals in “architecture, interior design, distribution and installation,” while its product page presents product information and FAQs. No customer-facing visualizer, configurator, room-preview, upload-photo, or prompt-generation tool is identified on the reviewed pages.","79"
"ALFALUX CERAMICHE","alfa-lux.it","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","The homepage labels a section “CHOOSE YOUR EFFECT” and lists paint, stone, concrete, marble, and wood effects; it also mentions “MATCH” for combining styles and materials. The available wording does not describe an interactive room preview, uploaded-photo try-on, configurator, or prompt-based generator.","79"
"BADEN HAUS","badenhaus.it","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","modern bathroom furniture","","The official site describes BADEN HAUS as a “Manufacturer of modern and classic bathroom furniture since 1979.” The available official site evidence contains no stated visualizer, configurator, room planner, uploaded-photo preview, or text-prompt generation feature.","79"
"BRUMA","bruma.pt","PT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","faucets and bathroom accessories","","The products page states “Catálogo BRUMA 2024/25” and “Descarregue o nosso catálogo e explore as nossas coleções que ditam as tendências.” It presents product categories and catalogue downloads, with no stated visualizer, configurator, room preview, upload-photo feature, or prompt generator.","79"
"CALDIA CERAMICS","e-ceramices.com","ES","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain floor and wall tiles","","The site lists product categories including “big slab,” “countertop,” “marble,” “concrete and stone,” “wood,” and “decoration,” and provides phone and email contact details, but it does not state that it offers a visualizer, configurator, room preview, upload feature, or text-prompt generation tool.","79"
"CERAMICHE MARINER","cermariner.it","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","floor and wall tiles","","The site describes Ceramiche Mariner as engaged in “the production and sale of tiles” and mentions “PRIME software” for controlling “every single productive process,” which is internal production software rather than a customer-facing design tool; no visualizer, configurator, room preview, or prompt tool is identified.","79"
"CE.SI.","cesiceramica.it","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","The site says CE.SI. offers “glazed porcelain stoneware tiles” in a “wide range of plain colours and modular sizes” and that “Colours, sizes, matching trims offer endless customisable designs.” No customer-facing room visualizer, uploaded-photo preview, or text-prompt generator is stated on the reviewed site content.","79"
"CIMENTO","cimento.tech","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","cement architectural surfaces","","The site presents “Surfaces,” “Objects,” “Case history,” “News,” and catalogue downloads, but no visualizer, configurator, room preview, uploaded-photo tool, or text-prompt feature is stated on the reviewed pages.","79"
"COYCAMA","coycama.com","ES","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","bathroom furniture","","The site presents a “CATÁLOGO MUEBLES DE BAÑO” with product links such as “Descúbrelo” and describes modular bathroom furniture, but the reviewed content contains no visualizer, configurator, room preview, or prompt-based design feature.","79"
"DECORATORI BASSANESI ITALIA 1988","decoratoribassanesi.it","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","industrial ceramic tiles","","The site navigation lists “Collections,” “Designers,” “About,” and “Downloads,” and describes the company as manufacturing industrial ceramic tiles. Its collection and catalogue pages do not state an interactive visualizer, configurator, room preview, or prompt-based design tool.","79"
"EVERSTONE","everstone.com","AU","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","luxury tiles and mosaics","","The navigation lists Company, Products, Gallery, Support, Catalogues, and Contact, while the Products page lists porcelain tile, ceramic, natural stone, metal, and glass categories. No customer-facing visualizer, configurator, room planner, or prompt-based design tool is exposed on the reviewed pages.","79"
"INFINITY™","infinitysurfaces.it","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","large-format porcelain slabs","","The products page provides “Filter Infinity Products” with filters such as color and effect, and the site offers downloadable catalogues. No customer-facing visualizer, configurator, room preview, or text-prompt design feature is presented on the reviewed pages.","79"
"ITA-I.TILES","itaceramiche.com","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","porcelain stoneware tiles","","The site uses the wording “Individual product photographs,” “See catalogue,” and “catalogues, technical sheets and information materials,” but does not present a visualizer, room planner, configurator, or AI design feature.","79"
"PAIL SERRAMENTI","pailporte.com","IT","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","interior doors and frames","","The site says “Download catalogues” and provides several door and frame catalogues; its visible navigation includes dealer-finding and catalogue access, but no interactive visualizer, configurator, customer preview, or text-prompt generation tool is stated.","79"
"Foshan Hengsheng New Material Co., Ltd.","hengxingmosaic.com","CN","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","glass mosaic tiles","","The site lists product categories including “Glass Mosaic Tile,” “Stone Mosaic Tile,” and “Metal Mosaic Tile,” and provides an inquiry workflow with “Inquire Online” and “Product Successfully Add to Inquiry List.” No visualizer, configurator, room preview, uploaded-photo tool, or text-prompt generation feature is stated on the checked pages.","79"
"WINASA CERAMICA","winasaceramica.com","IN","51-200 employees","10M-25M","4-no design step","Marketing","Marketing + Design + MD","NONE","no","no","ceramic and porcelain tiles","","The site offers downloadable catalogues describing the company’s products, designs, and inspirations, but no interactive visualizer, configurator, room-preview tool, uploaded-photo feature, or text-prompt generator is stated on the reviewed pages.","79"
"ATELIER CASABELLA","ateliercasabella.com","IT","11-50 employees","","4-no design step","Marketing","Owner / Founder","NONE","no","no","decorative wood wall panelling","","The site describes “Solutions for decorating walls, doors, and furniture with solid wood slats and mouldings” and provides a “Catalogue” and “Portfolio.” Its gallery lists named product images, but no interactive visualizer, configurator, room preview, upload-photo feature, or prompt generator is shown.","78"
