"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"TECHNOLAM - BLUFANGO","technolam.it","IT","NAPOLI","CANDIDATE A","NONE","2-NONE","Downgrade: they lay as well as make (gate 3 pressure) and much of the output is worktops and furniture, which is 3D || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Large-format thin porcelain slabs. Service described as planning, design, manufacturing AND laying. No tool surfaced","in scope","bespoke/handmade language; own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Wholesale Building Materials","Technolam nasce da un lungo percorso nel settore della ceramica tradizionale e dalla voglia d'innovare. Gli ideatori del progetto intuiscono tra i professionisti del settore l’esigenza di disporre di superfici ceramiche di formato sempre più grande che non si limitino all’uso a pavimento e rivestimento, ma che si prestino alla realizzazione di elementi su misura per il mondo dell’arredo. Grazie al continuo lavoro di ricerca e di sviluppo, Technolam ha sviluppato una grande lastra in gres porcellanato di basso spessore dalle caratteristiche tecniche eccellenti che garantisce ad architetti e progettisti la massima versatilità e libertà d'impiego, senza rinunciare a una resa estetica impeccabile. Oggi Technolam è un interlocutore unico per i suoi clienti offrendo un servizio a tutto tondo di consulenza pre e post vendita, taglio a misura e posa in opera con il fine di realizzare spazi sartoriali. 

-

Technolam was born from a long journey in the traditional ceramic sector and from the desire to innovate. The creators of the project sense among the professionals of the sector the need to have ceramic surfaces of increasingly larger size that are not limited to the use as floors and wallcoverings, but which lend themselves to the creation of furnishing elements. Thanks to continuous research and development, Technolam has developed a large-sized, low-thickness porcelain stoneware slab with excellent technical characteristics that guarantee architects and designers maximum versatility and freedom of use, without sacrificing an impeccable aesthetic result. Today the company is a unique interlocutor for its customers by offering an all-around service of pre- and post-sales consultancy, cutting to size and installation to create tailored spaces."
"The Wallfashion House NV","grandecogroup.com","BE","Tielt","CANDIDATE A","NONE","2-NONE","1,000+ new designs a year, 20M rolls, 88 countries, and not one way for a customer to see a design on their own wall. Largest design throughput on the list, zero tooling || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections and inspiration galleries (bedroom ideas, photo wallpaper trends, how-to-apply). Browse and buy, no visualiser and no configurator","in scope","hand-verified priority on 14 Sept: PASS priority. This is Grandeco Wallfashion Group, founded 1978, Europe's largest wallpaper producer: 20 million rolls a year in more than 1,000 designs, ~EUR 150M turnover, 600+ p","Murals & Wallcoverings","Heimtextil 2027","25M-75M","201-500 employees","Design Services","Grandeco Wallfashion Group Belgium is one of the leading producers of Vinyl Wallcoverings. Based in Tielt, Belgium, we have become one of the most important players in the field of decorative wall-papers and we sell our products in over 88 countries worldwide.

It is our objective to expand even more and to confirm our reputation as one of the lead market players. Our strengths are undoubtedly our excellent product quality and our contemporary collections. This is all available on paper or non-woven substrates. Our team of in-house designers develop our own collections and in addition Grandeco also produces a large number of exclusive products for almost every important retailer and distributor.

Grandeco is part of the GIMV and Down2Earth Belgian private equity investment groups, which are the main share holders of the Grandeco Wallfashion Group."
"YUKARI CERAMICS","yukariceramics.com","IT","SASSUOLO","CANDIDATE A","NONE","2-NONE","A very thin web presence. Real artisan credentials, almost no digital surface, so the sell is broader than one feature || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Only two pages indexed at all (home, collections). Tiles designed by hand by Japanese artisans","in scope","bespoke/handmade language; own collections or trade-facing; revenue blank, manual review per S7.4","Ceramic / Tile (verify)","Cersaie 2026 + Coverings 2027","","2-10 employees","Design Services","What is Yukari Ceramics?

A brand born from the desire to blend the excellence of Italian design culture with the great craftsmanship of Japanese masters.

Handcrafted design

The design of the tiles is closely linked to handmade production and stems from a subtle balance between ancient tradition and contemporary research. Here, every element is part of a shared knowledge that spans centuries.

People of Yukari

The union of two great skills, on the one hand the entrepreneurial and commercial expertise of Stefano Mammi and on the other the organizational skills of Mikito Hirata and his Hirata Tile group, gave rise to the Yukari Ceramics project, a brand created with the aim of spreading, for the first time, the culture of Japanese artisan ceramic tiles throughout the world through Italian design.

AD - Massimo Nadalini 
Exhibition design - Lo Studio Design
Online communication - be2be
Render Artist - Mattia Messori
Photography - Oryoki
Still-life of collections - Fabrizio Cicconi"
"41ZERO42","41zero42.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","Design-led Italian ceramic brand, no customer-facing design step || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Project galleries and collection catalogues. No tool surfaced","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Design Services","La semplicità di un codice d’avviamento postale per identificare un luogo d’appartenenza e tutti i valori che ad esso sono legati. Uno spazio creativo, che mira all’eccellenza del materiale ceramico, all’importanza della sua ricerca e ai suoi contenuti. Un linguaggio che prende forma dalla contaminazione di diversi elementi provenienti da svariati contesti. Elementi dal sapore industriale accostati ad altri dal carattere fortemente artigianale, colore e tinte neutre, decorazioni massimaliste e atmosfere minimaliste, molteplicità di linguaggi interconnessi danno vita a nuove vesti per la progettazione architettonica.
41zero42 è nata sicuramente dalla voglia di fare qualcosa di diverso, guardando anche al di fuori del campo ceramico e cercando di interagire maggiormente con l’interior design.
Per noi, un’idea o un progetto devono necessariamente trasmettere e veicolare un contenuto, una storia. Così le storie che ci emozionano, appassionano e che cerchiamo di raccontarvi, divengono la linfa della nostra curiosità e creatività. Chiamateci cantastorie, non ci offenderemo."
"ABK - MOOOI","abkgroup.it","IT","FINALE EMILIA","CANDIDATE B","NONE","2-NONE","30 years of Made-in-Italy research and the digital surface is a PDF library || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collection catalogue PDFs only (Out.20, Alterego, Concrea, Eco.Chic, Sensi). No tool surfaced","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","200M-500M","501-1,000 employees","Glass, Ceramics and Concrete Manufacturing","In ABK Group, for 30 years Made in Italy has been translated into the continuous research for new expressive styles, attention to details, and the use of the most advanced production technologies.

It is thanks to the attention paid to these aspects and the enhancement of the entire production process that we are able to actively respond to the most complex and diversified design needs.

ABK Group collections, designed and produced in the Ceramic Excellence District, offer surfaces, formats and finishes that extend the expressive possibilities of porcelain stoneware to infinity."
"ALFALUX CERAMICHE","alfa-lux.it","IT","ROTEGLIA-CASTELLARANO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Product collections by effect, surface and format. No tool surfaced","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Architecture and Planning","Alfalux rappresenta eccellenza, innovazione e sostenibilità nel mondo del gres porcellanato. Con sede nel cuore del distretto ceramico di Sassuolo – via della Repubblica 16, Roteglia di Castellarano (RE) – operiamo come partner affidabile e creativo per architetti, interior designer, rivenditori e imprese.

La nostra visione
Crediamo che la pietra ceramica non sia semplicemente un materiale, ma un vero complemento d’arredo capace di trasformare spazi, raccontare storie, valorizzare ambienti. Per questo motivo la ricerca estetica, l’innovazione tecnologica, e il rispetto per le risorse naturali e il territorio sono parte integrante del nostro approccio. 

Cosa facciamo
Produciamo lastre in gres porcellanato a colorazione in massa, in cui qualità tecnica e bellezza estetica convivono senza compromessi. 

Offriamo collezioni che spaziano dagli effetti pietra, legno, cemento e marmo, fino a soluzioni a colori, per ambienti interni ed esterni. 

Con il sistema TOTAL OUTDOOR, portiamo il gres anche nei contesti esterni — spiagge, giardini, terrazzi — garantendo prestazioni elevate e stile coerente. 

Con la formula MATCH, invitiamo i nostri clienti a mixare stili, materiali, formati e finiture, sperimentando nuove soluzioni e vivendo il progetto come momento creativo. 

Perché scegliere Alfalux
Siamo parte del gruppo Nuova Riwal, consolidando esperienza, capacità produttiva e visione globale. 

Mettiamo al centro responsabilità sociale, tutela ambientale e un uso consapevole delle risorse, elementi che guidano ogni fase del nostro processo produttivo. 

Disponiamo di un’ampia gamma di collezioni per rispondere alle più diverse esigenze progettuali, mantenendo elevati standard qualitativi e estesi formati. 

Unisciti al nostro mondo
Che tu sia progettista, distributore o appassionato di design, Alfalux ti offre un ventaglio di possibilità per trasformare gli spazi in esperienze."
"ALVA Surfaces/Wizard","alvasurfaces.com","US","San Antonio","CANDIDATE B","NONE","2-NONE","Reinforces the 14 Sept gate-3 flag: the public face is now sourcing and specification, not manufacturing || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Almost nothing indexed (two pages). The site now leads as MATERIAL Hospitality, sourcing materials for hospitality projects","in scope","hand-verified on 14 Sept: FLAG gate 3. Self-describes as distributor, importer AND manufacturer. Does manufacture its own Wizard, Bison Brick and Valletta ceramic lines, so it is not a pure middleman. TCNA ","Decorative / Artisan Tile","TCNA","","2-10 employees","Construction","We Build your Future 
Your Trusted Partner for Turnkey Construction in Algarve, Portugal   Based in Portugal"
"BARRO","barroficina.com","PT","AGUADA DE CIMA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Portuguese tile, very thin index (4 pages). No tool surfaced","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","BARRO is born, in 2013 in Portugal, from the appreciation of material in its purest expression, where luxury reveals itself in a subtle and timeless way. The tiles express themselves through a contemporary language guided by the balance between aesthetics, function, and sensoriality.
Produced in Portugal, BARRO tiles reflect a deep connection to materiality and ceramic craftsmanship, embracing imperfection as an essential part of their identity. Variations in the glazes, irregularities in texture, and the way light moves across each surface give every piece its uniqueness, creating a continuous dialogue between precision and spontaneity.
For BARRO, beauty does not lie in excess or imposition, but in the ability of the material to reveal itself gradually through light, shadow, and time.
Each collection is designed to enhance the depth of textures, the subtle reflections of the glazes, the delicacy of the geometries, and the tactile presence of stoneware. The result is a series of sophisticated surfaces capable of transforming spaces through a discreet and deeply contemporary elegance.
More than wall coverings, BARRO tiles are architectural objects that exist through the relationship between material, light, and space.
WE CREATE PERFECTLY IMPERFECT TILES."
"BOTTEGA","bottegatiles.com","IT","RUBIERA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collection pages and catalogue PDFs only","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Bottega was born from the thirty-year experience of the founding partners. It is proposed as a high-end alternative in the production of floors and walls ceramic porcelain stoneware. Research and aesthetic taste combined with attention to detail make Bottega products an excellence in the Italian ceramic sector. The most modern production technologies blend with complex laboratory techniques, for an original and exclusive result.
Watch the reality to develop a style that may positively influence the environments in which we live.
Perception, value and passion are our leading dogma to obtain this result. Creativity, research and an accurate analysis of the detail, as essential accessories to best express a new concept that Bottega highlights through a sophisticated simplicity.
Bottega team looks at the ceramic element with a careful and innovative eye, devising and developing new colours and textures that will blend harmoniously with the most innovative architectural choices. The result that follows
are surfaces that easily lend to plenty aesthetic requirements, while offering high technical performance.
Produce versatile collections able to satisfy contemporary design requests, to propose a wide range of sizes, colors and surfaces. Delete the boundaries of our spaces by offering products that blend vertical and horizontal surfaces, which allow you to move outside ensuring the slipperiness and resistance requirements necessary in the outside world. Keep the ceramic product constantly in step with the world of design.
Style, creativity, production technology and quality for a ceramic conceived, developed and produced in Italy"
"CERAMICA RIBESALBES","ceramicaribesalbes.com","ES","ONDA - CASTELLÓN","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Product series pages only","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","At Cerámica Ribesalbes, we blend advanced technology with traditional craftsmanship to create high-quality collections that keep up with current trends."
"CERDOMUS","cerdomus.com","IT","CASTEL BOLOGNESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","An interactive catalogue PDF is the only digital surface","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Innovazione tecnologica, dinamicità, ricerca sul prodotto, passione per il design e partnerships con il mondo della progettazione: da oltre cinquant’anni il brand Cerdomus interpreta il gusto e la qualità del made in Italy sui mercati internazionali.

Una realtà industriale riconosciuta nella produzione di gres porcellanato di qualità, grazie ad una consolidata esperienza manifatturiera e ad un know how tecnologico costantemente aggiornato fanno di Cerdomus un’azienda in grado di interpretare le tendenze dell’interior design contemporaneo, costruire partnerships e collaborazioni con il mondo dei progettisti, offrire prodotti all’avanguardia e apprezzati dalla clientela internazionale.

Dal 2019 è attiva una rivoluzionaria linea di levigatura, unica nel suo genere, frutto di una partnership prestigiosa, che ha consentito la nascita del Levigato di Terza Generazione.
Trasparenza e profondità grafiche eccezionali, unite a performance tecniche di prodotto eccellenti: un investimento che consente la realizzazione di prodotti ceramici innovativi e tecnologicamente avanzati, con risultati qualitativamente superiori per resa estetica, contenuti tecnici e applicazioni. 
Un processo produttivo certificato, per collezioni sempre originali, grazie alla nostra ricerca indipendente."
"COTTO D'ESTE","cottodeste.it","IT","SASSUOLO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Catalogue and technical-manual PDFs only","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","1B-10B","1,001-5,000 employees","Glass, Ceramics and Concrete Manufacturing","Sophistication, quality, and excellence. For more than 30 years Cotto d’Este has been producing extremely high quality porcelain stoneware cladding and flooring for the high-end market, becoming a privileged choice for architects and designers worldwide. Beauty in Ceramics, the brand’s claim, is translated into intense and tactile products characterised by manufacturing excellence, persistent aesthetic study, and profound attention to detail, capable of preserving the characteristics of craftsmanship and of the most beautiful natural materials. 
Cotto d’Este offers superior quality tiles that are available in a unique range of products made up of 14 mm, 9 mm, 20 mm thick surfaces, and ultra-slim over-sized KERLITE slabs along with the exclusive Protect antibacterial technology that guarantees hygiene and protection for healthy and safe environments.

Cotto d’Este is part of Panariagroup Industrie Ceramiche S.p.A., an Italian multinational group, world leader in the production and distribution of ceramic surfaces for floor and wall coverings. With more than 1,700 employees, 10.000 customers, 7 production facilities (3 in Italy, 3 in Portugal, and 1 in the United States), Panariagroup is one of the main producers of flooring and wall covering ceramic tiles for the upper and luxury segment of the market."
"COVERLAM","grespania.com","ES","CASTELLÓN","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Series pages only","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","Grespania is an international ceramic manufacturing company, producing collections which boast both innovative technical properties as well as innovative cutting edge designs. 

Grespania has three factories all equipped with state-of-the-art technology and the most advanced processes for the production of porcelain floor tiles, white body wall tiles and large format porcelain slabs up to 120x360 in size in varying thicknesses. 

In addition to its production facilities Grespania has two service centres in Santiago de Compostela and Granada in Spain. The company also has 5 subsidiaries companies serving as distribution hubs in strategic European countries: France, Italy, the Netherlands, Poland and the UK."
"EDIMAXASTOR","edimaxastor.it","IT","SOLIGNANO DI CASTELVETRO","CANDIDATE B","NONE","2-NONE","Worth noting the trap: in Italian tile marketing 3D almost always means a relief SURFACE, not a 3D room tool || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","No tool. Their 3D Shaped Technology is a PRODUCTION process for surface realism, not a customer-facing tool","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","EDIMAX ASTOR CERAMICHE produces high-quality, Made in Italy porcelain stoneware with colored body mixtures for floors and walls, featuring innovative designs and a wide range of surfaces, colors, and sizes.

Each collection is the result of targeted research aimed at interpreting national and international trends, catering to different market segments and offering professionals in the field extensive aesthetic and functional solutions.

The production process is entirely eco-sustainable, thanks to the recycling of water and raw materials, a 1.6-megawatt photovoltaic system, and a thermal unit with controlled CO2 emissions."
"ELIOS CERAMICA","eliosceramica.it","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Nothing at all returned for the domain. The site may be dead or unindexed. Verify it resolves before any outreach","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Founded in 1968, Elios Ceramica has always specialised in small sizes, carrying on the value of Italy’s ceramics tradition with on-going innovation, artistic ceramics promoting Italian design every day.
Materials and colours come together in products reflecting all the charm of hand craftsmanship.
Elios’s collections express all the value of true Italian ceramics with their material textures, precious enamels and refined decorative motifs. Our surfaces are the product of a contemporary ceramic culture with roots that go back over twenty centuries of art and history."
"ENERGIEKER","energieker.it","IT","PAVULLO NEL FRIGNANO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","3D Structures are Flow and Groove surface textures, a product not a tool","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","201-500 employees","Construction","Excellent Italian Surfaces

Siamo specialisti in eccellenza ceramica e partner globale dell’architettura perché offriamo ogni tipo di soluzione stilistica e tecnologica per rispondere in modo completo, innovativo e proattivo alle esigenze di progettisti e utilizzatori finali ovunque nel mondo.
Siamo credibili perché siamo autentici e siamo autentici perché mettiamo tutto nel nostro lavoro: cinquant’anni di esperienza, cinquecento quaranta dipendenti, oltre tremila clienti, due stabilimenti, tre marchi, cinque sedi nel mondo, ottanta collezioni costantemente rinnovate.
Stiamo vicino ai nostri clienti ovunque siano, ascoltiamo le loro esigenze con attenzione, rispondiamo con una gamma ampia e profonda di collezioni ceramiche eccellenti per stile, tecnologia e passione innovativa.

We are specialists in ceramic excellence and a global partner in architecture because we offer all kinds of stylistic and technological solutions to respond comprehensively, innovatively and proactively to the needs of designers and end users everywhere in the world.
We are credible because we are authentic and we are authentic because we put everything into our work: fifty years of experience, five hundred and forty employees, more than three thousand customers, two factories, three brands, five locations around the world, eighty constantly renewed collections.
We stay close to our customers wherever they are, listen to their needs carefully, respond with a wide and deep range of ceramic collections that are excellent in style, technology and innovative passion."
"ESTUDIO CERAMICO","eceramico.com","ES","SAN JUAN DE MORO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Catalogues, collections and a designs gallery. Small-format tile factory","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","At Estudio Cerámico we combine design and tradition, to be at the forefront of ceramic trends. Our collections reinvent the concept of creating ceramics, where detail is taken care of, providing solutions to give personality to the most exclusive spaces."
"FAP CERAMICHE","fapceramiche.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","3D here means relief wall panels and Decor Box, products not tools","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale Building Materials","Fap ceramiche produces high quality tiles for floors and walls of the bathroom, the kitchen and all the rooms of the house. 

Fap ceramiche offers products and solutions able to represent and project onto the bathroom and the home the personality of the people who live there. Our company philosophy is a vocation to create timeless products that set hearts racing. Fap ceramiche collections combine the heritage of ceramic tradition with the pursuit of contemporary design. Our aim is to offer a fresh take on ceramic wall coverings every time: Fap ceramiche is an outstanding, top-quality brand able to innovate by offering a balanced mix of the traditional and the modern, of technical quality and a creative touch. With Fap ceramiche products, a dream home is no longer a luxury for the chosen few, but a real opportunity within everyone reach."
"GAZZINI","ceramicagazzini.it","IT","RUBIERA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections plus personalised expert advice and consulting sessions","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","CERAMICA GAZZINI costituisce una delle più importanti realtà nel settore ceramico. 
Da oltre cinquant'anni offre prodotti innovativi e di alto valore estetico. La vasta gamma di collezioni si colloca in ogni ambito progettuale, per arricchire architetture di ogni tipologia sia pubblica che residenziale, per soluzioni interne o esterne.
Il nostro MADE IN ITALY è riconosciuto a livello internazionale per l'altissima qualità.
Le tendenze progettuali sono sempre più orientate alla ""sostenibilità "", una filosofia da sempre presente in CERAMICA GAZZINI. Una scelta etica nel rispetto dell'ambiente, senza rinunciare a stile e funzionalità. 
.
.
.
CERAMICA GAZZINI is one of the most important companies in the ceramic industry. 
For over fifty years, it has been offering innovative products of high aesthetic value. The wide range of collections can be found in every design area, to enrich architectures of all types, both public and residential, for indoor or outdoor solutions.
Our MADE IN ITALY is internationally recognized for the highest quality.
The design trends are increasingly oriented towards ""sustainability "" a philosophy that has always been present in CERAMICA GAZZINI. An ethical choice that respects the environment, without sacrificing style and functionality"
"Hohenberger Manufaktur für Tapeten I Taubert GmbH & Co. KG","hohenberger-wallcoverings.com","DE","Hohenberg an der Eger","CANDIDATE B","NONE","2-NONE","Checked deliberately: a cookie Configure button is the most common false positive in this kind of scan || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Shop and product pages only. The word Configure on the site is the cookie banner, not a design tool","in scope","hand-verified on 14 Sept: PASS. Third-generation Bavarian wallpaper manufactory, ~90 years, produces only in Germany, PVC and plasticiser free. Runs both modern digital printing and traditional techniques, ","Murals & Wallcoverings","Heimtextil 2027","5M-10M","11-50 employees","Manufacturing","Seit fast 90 Jahren - in der mittlerweile dritten Generation - stellen wir Tapeten her. Auch heute noch mit viel Handarbeit und ganz viel Liebe zum Detail. Tapeten aus Hohenberg werden - ausschließlich in Deutschland - besonders nachhaltig produziert und sind zu hundert Prozent frei von PVC, Weichmachern und Lösungsmitteln. 
Dabei kommt modernster Digitaldruck genauso zum Einsatz wie traditionelle Drucktechniken. Tapeten aus Hohenberg schmücken Schlösser und Museen, Bars und Lounges, Hotels und Büros, Geschäfte und Wohnungen nicht nur in Deutschland, sondern auf der ganzen Welt. 
.
.
We’ve been producing wallpapers for almost 90 years with a lot of craftmanship and great attention to detail and are now in our third generation.
Here at Hohenberger we produce all our wallpapers without any PVC whatsoever. Our paint and coating systems are water-based, so they guarantee 100% healthy living.
Our wallpapers adorn castles and museums, bars and lounges, hotels and offices, shops and apartments – not only in Germany but around the world."
"ITA-I.TILES","itaceramiche.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Design, production and distribution of Italian ceramic surfaces. Product pages only","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Building Materials","ITA-ITILES, born in 2018, is an Italian young and dynamic company specialized in the industrial production of porcelain stoneware tiles; its new production plant is equipped with ultra-modern 4.0 production lines supported by ecofriendly kilns equipped with the best heat recovery systems for a production capacity of eleven million square meters / year. The product mix offers the international market all sizes starting from 120x120 cm down to 20x20 cm for innovative ceramic surfaces with a strong Made in Italy vocation and aimed at both large-scale distribution and retail market through USA, Canada, Europe, Middle East and Far East, always placing great care and attention to the technical and aesthetic content of each collection manufactured."
"Jerusalem Heights","jerusalemheights.com","US","Milford","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Preset marble mosaic patterns: basketweave, herringbone, hexagon, Paris stripe, mini brick","in scope","hand-verified on 14 Sept: PASS. A producer and manufacturer of natural stone mosaic tile, premium marble mosaics for backsplashes, shower floors and walls. Makes its own mosaics in Connecticut. On-niche and","Tile / Stone (verify)","Coverings 2027","10M-25M","","",""
"LA FABBRICA AVA","lafabbrica.it","IT","RUBIERA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Their Imagine series is wallpaper-effect tile, a product not a tool","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Building Materials","Siamo LA FABBRICA AVA, brand leader nel settore dei pavimenti e rivestimenti,  dedicato a trasformare i vostri spazi in autentiche opere d’arte. 
Ci contraddistinguiamo per “l’alta qualità di prodotto”, il “design innovativo” e la “creatività”. 
La nostra passione per l’eccellenza ci guida in ogni fase, dalla progettazione all’interior design e si riflette nelle collezioni all’avanguardia che creiamo. 
Le nostre soluzioni sono supportate dalle tecnologie più avanzate, il che ci permette di soddisfare le esigenze tecniche più complesse dell’architettura e dell’interior design. Il risultato?
 Uno stile unico ed elegante, tipicamente “Made in Italy”."
"MARCA CORONA","marcacorona.it","IT","SASSUOLO","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","4D and 3D here are textured tile collections, plus a Mix and Match style guide. No tool","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","Marca Corona produces first-class ceramic flooring and wall tiles since 1741. They combine best technical performances with the unmistakable style of Made in Italy.

For over 2 centuries, Marca Corona has headed the development of the ceramic industry, using increasingly advanced techniques and aesthetic inspirations and launching new trends in ceramic design.

Each Marca Corona collection is the perfect combination between the best in class production technologies and the constant research in latest fashion and design trends. The products combine aesthetic refinement and technical performances, in order to meet the requirements of both comfortable private living and architectural planning  thanks to new, large sized, rectified slabs.

The Marca Corona collections are distributed world-wide to convey the values of Made in Italy: aesthetic elegance and technological innovation. All our tiles indeed are designed and manufactured entirely in Italy."
