"company","domain","domain_confidence","country","town","gate_flag","source","pre_flag","pre_flag_reason"
"Seed Decorative Material Co., Ltd.","","none","CN","Foshan","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Established Nov 2002 in Shunde, Foshan, manufactures crystal mosaic at 450,000 sq m a year. No own website: Alibaba, Made-in-China and the Coverings listing only. Commodity manufacturer"
"Shanghai Tongchen Stone Co., Ltd.","tongchenstone.com","medium","CN","Shanghai","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. One of China's leading white marble suppliers and exporters, four production bases in Shanghai, Sichuan, Fujian and Jiangsu Yixing. Domain from a summary, verify. Raw stone export"
"Stone Partnership Inc","stonepartnership.com","high","US","Pennsauken","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. 40+ years as a wholesale distributor of natural stone, specialising in honed, antiqued and distressed material. Wholesale distribution. Gate 3"
"Stoneglass Srl.","stoneglass.it","high","IT","Casciana Terme Lari, Pisa","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Stoneglass is a crystallised glass-stone MATERIAL made in Tuscany, specified by architects for cladding, ventilated facades, flooring and marine use. A material brand, not a pattern designer"
"Stover's LLC","stoversliquidation.com","high","US","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Describes itself as the largest stocking dealer of ceramic and porcelain tile, laminate and hardwood in the South, trading as Stover's Liquidation. A stocking dealer clearing inventory. Gate 3, and the liquidation model means no design step at all"
"TAB Surfaces - Natural Stone and QUARTZ","tabindia.com","high","IN","Hosur","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. One of the largest natural stone and quartz processors in the world: granite, marble, slate, quartzite, sandstone, limestone plus the TABQUARTZ engineered line. Slab processing. No pattern"
"Tarmak USA","tarmakusa.com","high","US","Tampa","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Founded 2002 and states plainly that it is a DIRECT IMPORTER of natural stone tile, mosaic, tumbled stone, moulding, slabs and trim, bringing containers from Turkey, Italy and China into Tampa inventory. Gate 3"
"Tendenzza","","unresolved","MX","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Tendenzza Pisos y Recubrimientos SA de CV, a Mexican porcelain tile brand sold through Azulemex, Surtidor and Construrama, with collections like Carrara, Nero, Imperia and Novara. No own corporate site found. Volume catalogue"
"Trend Surplus Development, Ltd.","","unresolved","CN","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. Specialises in marble, glass, ceramic and metal mosaic and sells under the brand Chroma Mosaico. No own website surfaced, only a trade directory. Note the name collides with TREND Group (trend-group.com), a well-known and unrelated Italian mosaic house. Commodity mosaic supplier"
"WINASA CERAMICA","winasaceramica.com","high","IN","Morbi","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. 20+ years in Morbi, manufactures and exports ceramic wall and floor tile, polished glazed vitrified, parking tile, slabs and sanitaryware. Sanitaryware is an explicit exclusion and the rest is commodity catalogue"
"X Ceramics Group","xceramics.com","high","BD","","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. A leading player in Bangladesh's ceramic market selling premium Italian tile under the X Monica, X Monalisa and X Alexander brands, plus bathware. A brand portfolio over imported product. Gate 3"
"XIAMEN STONELINK IMP. & EXP. CO. , LTD","","none","CN","Xiamen","LIKELY OUT","Coverings 2027","LIKELY OUT","LIKELY OUT. 12+ years as a stone project supplier offering a one-stop stone solution, 252 shipments to 33 buyers mainly in Indonesia, the US and Vietnam. No independent website: Alibaba and Facebook only. Import and export, gate 3"
"A.G.M. S.r.l.","","unresolved","IT","Casoria","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Heimtextil lists it under Inks and Wallpapers, and its PASTER series is high-concentration pigment preparations for colouring PVC synthetic leather and vinyl coated fabrics. That is a chemical feedstock supplier, not a wallcovering house. D&B places an A.G.M. SRL in Casoria, Napoli, but no company site could be confirmed and searches collide with A.G.M. di Acciaioli (agmtex.it), an unrelated Montemurlo fabric mill. Do not use agmtex.it for this row"
"AV-Design Inh. Alla Vaysman","","none","DE","","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio. Alla Vaysman sells concepts, colorations and designs for wallpaper, fabric, textiles and wrapping paper to manufacturers, which is the output the tool generates. Wrong side of the trade. No website exists either: LinkedIn and Instagram only"
"Claire Louise Designs","claire-louise.com","high","GB","Durham","LIKELY OUT revenue","Heimtextil 2027","LIKELY OUT","LIKELY OUT revenue. Listed in hall 4.2 but it is not only a pattern studio: Claire Louise designs and then prints onto cushions, kitchenware and gifts sold through John Lewis and Fenwick. So the wrong-side-of-trade reason does not apply. It fails on size instead. An independent illustrated-gift business run by one designer since 2007 will not clear the $1M gate. Verify revenue rather than assuming the hall tells you why"
"Erfurt & Sohn KG","erfurt.com","high","DE","Wuppertal","LIKELY OUT","Heimtextil 2027","LIKELY OUT","LIKELY OUT. Family firm since 1827 and market leader in PAINTABLE wall coverings, the woodchip and non-woven products a decorator paints over. The product carries texture, not pattern, so a pattern engine has nothing to render. Their 30+ structures are embossings, not designs"
"Haley Studios Ltd.","haleystudios.com","medium","GB","Brighouse","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio. Original hand-painted artwork in gouache and metallic paint, sold for use across surface pattern. Sells designs to manufacturers, so wrong side of the trade. Domain came from a trade directory that printed it as 'ww.haleystudios.com', a typo, so confirm it resolves before use"
"KBM Sp. z o.o.","kbm.com.pl","high","PL","Belchatow","LIKELY OUT","Heimtextil 2027","LIKELY OUT","LIKELY OUT. Two businesses, both failing gate 3. It is Poland's leading wallpaper DISTRIBUTOR, reselling Rasch, Hohenberger and Graham & Brown, and it manufactures wallpaper ADHESIVE under the Wallfix and Masterline brands. Adhesive is an explicit S7.4 exclusion and reselling is gate 3"
"KRITI & KUNAL","","none","IN","","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio run by Kriti Sharma and Prince Kunal Gaurav, hand-painted fabrics and murals sold to clients across India, Europe, the US and UAE. Wrong side of the trade. No company website found either, LinkedIn only"
"Kaleidoscope Surface Design Olesja Breuer","kaleidoscope-sd.com","high","DE","Berlin","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio, founded by Olesja and Vera Bartolomej with Galina Sodolovskaya. Sells exclusively handmade one-of-a-kind patterns to manufacturers. Wrong side of the trade"
"Lee Design Studio","","unresolved","","","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio and excluded on that basis. The name is too generic to resolve: searches return several unrelated Lee-named surface designers. Needs the Heimtextil exhibitor listing itself if the row is ever revisited"
"Norafin Industries (Germany) GmbH","norafin.de","high","DE","Mildenau","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Technical nonwovens: spunlace, needlepunch and composite roll goods for filtration, performance apparel, medical, automotive, roofing. It sits in the Heimtextil wallcoverings hall as a substrate supplier. There is no pattern and no end customer choosing a design"
"Onno Raadersma","raadersma.com","high","NL","Rotterdam","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio, trading as Onno Raadersma Dessins. Sells dessins for interior fabrics to manufacturers. Wrong side of the trade"
"Pufas Werk KG","pufas.de","high","DE","Hann. Münden","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Founded 1928, makes products for painters and decorators: pastes, adhesives, fillers, cleaners. A trade-supply company in the wallcoverings hall, not a wallcovering designer. Explicit S7.4 exclusion"
"Rafias Prisim Textil S.r.l.","rafiasprisim.com","high","AR","Valentin Alsina, Buenos Aires","LIKELY OUT","Heimtextil 2027","LIKELY OUT","LIKELY OUT. Note the country: the S.r.l. suffix reads Italian but the company is Argentine, in Valentin Alsina, Buenos Aires, since 1966. Hall 4.1, and the product is natural-fibre fabric in cotton, raffia, jute and linen. Woven texture, not printed pattern, so there is no design step to render"
"SANDRA JACOBS DESIGN","","none","NL","Vught","EXCLUDE","Heimtextil 2027","EXCLUDE","EXCLUDE. Hall 4.2 pattern studio. Dutch artist selling handpainted and digital designs for home and fashion textiles, historically to Lacroix, YSL and Armani. Wrong side of the trade. No own website: LinkedIn, Instagram and Maison&Objet listings only"
"Casa Ceramica, Inc.","casaceramica.com","high","US","West Palm Beach","LIKELY OUT gate 3","TCNA","LIKELY OUT","LIKELY OUT gate 3. Established 1996 as the retail division of LTS Ceramics. Sources handmade tile from artisans in Tunisia, Italy, Spain, Portugal, France and Morocco and resells through 15+ states via distributors. Reads importer/retailer, not maker. Does offer custom orders made in US artisan studios, so not an automatic kill. Not the Manchester UK Casa Ceramica."
"Chadwick's Surfaces International, Inc.","chadwickssurfaces.com","high","US","Lake Forest","LIKELY OUT gate 3","TCNA","LIKELY OUT","LIKELY OUT gate 3. Calls itself manufacturer, designer and distributor of stone, terracotta and ceramic sourced from around the world. The around-the-world sourcing language is the distributor tell. Confirm on site whether anything is made in house."
"Elon Tile & Stone","elontile.com","high","US","Bethel","LIKELY OUT gate 3","TCNA","LIKELY OUT","LIKELY OUT gate 3. Describes itself as an importing and exporting wholesale company of natural stone, established 1966. Wholesaler plus stone rather than pattern. Two gates against it."
"Hovey Tile Art LLC","","none","US","Mentone","BLOCKED","TCNA","NEEDS DOMAIN","BLOCKED. No website exists after two search passes. Presence is directory only: LinkedIn, Facebook, Yelp, Yellow Pages, Manta. Owner Cindy Hobey, 1221 Opal Ave, est. 1984, about 21 staff. Cannot be enriched or emailed without a domain. Phone 909-794-3815 if worth a manual call."
"The Tileworks of Bucks County","thetileworks.org","high","US","Doylestown","EXCLUDE","TCNA","EXCLUDE","EXCLUDE. Operates the historic Moravian Pottery and Tile Works as a 501c3 non-profit museum with tours, classes and workshops. Hits two S7.4 exclusions at once: nonprofit/institutional buyer and teaching studio. It does sell design, fabrication and installation services, but the buyer type is wrong for a paid commercial tool."
"COMES NORTH AMERICA, INC","","unresolved","US","","EXCLUDE","TISE 2027","EXCLUDE","EXCLUDE. Searched twice. Most likely the North American arm of an Italian stone-machinery maker, either Comes Italy (comesitaly.it, Tito, Potenza) or CO.ME.S Costruzioni Meccaniche Signorini (come.it, Calcinaia), both of which build marble and granite processing machinery. Machinery is an explicit S7.4 exclusion, so the row is out whichever it is and the domain does not matter"
"DOOHA CO., Ltd","dooha.net","high","KR","Jincheon","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. 40 years old, sells itself on precision machining and quality control from its Jincheon plant. An industrial component maker exhibiting in a surfaces hall. No pattern, no design step"
"Echelon Surfaces","","unresolved","US","","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Searched twice, no match. Do NOT use echelontileandstone.com: that is Echelon Tile and Stone, a different Tri-State fabricator and installer, and fabricator-installer fails gate 3 anyway. Echelon Masonry is an Oldcastle brand, also a different company. Needs the TISE exhibitor listing"
"Franken Schotter GmbH & Co. KG","franken-schotter.com","high","DE","Dietfurt","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Germany's leading Jura limestone and dolomite producer: four quarries, ~350,000 tons of raw block a year, ~2 million tonnes of product, 500+ employees. A quarry operator selling wall cladding and floor slabs. Raw stone, no pattern"
"Hanover Architectural Products","hanoverpavers.com","high","US","Hanover","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. American-made concrete unit pavers since 1971. Hardscape construction material specified by landscape architects. No customer-facing design step for the tool to sit on"
"JADRANKAMEN white limestone Croatia/EU","jadrankamen.hr","high","HR","Pucisca, Brac","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Quarries white and semi-white marble from eleven quarries on the island of Brac and processes it at two plants. Extraction, processing, sale and installation of building stone. Quarry plus installer, two gate-3 problems"
"MIGA (Shinil Frame Co.,Ltd.)","migaworld.com","high","KR","Paju","EXCLUDE","TISE 2027","EXCLUDE","EXCLUDE. Founded 1967, makes polystyrene moulding, frame and panel under the MIGA brand, ~100 patents, exports to 60 countries. Moulding and frame, not a flat patterned surface. Wrong medium"
"PRINTECH KR CO., LTD.","printechkr.com","high","KR","Paju","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Spun out of LG Chem's decopaper division in 1999 and Korea's decopaper market leader since 2004. It does print decorative pattern, on paper, under the Lovenre brand, so it is closer than most TISE rows. But it sells that paper as a raw surface material to furniture and panel makers, who choose the design. The design decision sits with their customer, not with them"
"SawMaster Diamond Tools, Inc.","sawmaster.com","high","US","Riverside","EXCLUDE","TISE 2027","EXCLUDE","EXCLUDE. Founded 1997, family owned, makes saws, diamond blades and accessories for cutting tile, marble, masonry and concrete. Tools are an explicit S7.4 exclusion"
"Stanza International LLC.","stanzawholesale.com","high","US","Chino Hills","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Pebble tile since 2005, about 50 styles of flat, standing, polished and flower pebble mosaic. By its own description it receives its tiles directly from one of the largest manufacturers in China, so it is the importer, not the maker. Gate 3"
"Stone Factory","","unresolved","","","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Unresolvable by name: at least three unrelated US companies trade as The Stone Factory (thestonefactoryco.com, thestonefactory.net in Orange CT, thestonefactorypalmbeach.com), all of them stone importers or fabricators. Needs the TISE listing, and the row fails gate 3 on every candidate"
"Stoneyard LLC","stoneyard.com","high","US","Littleton","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. Manufacturer of New England natural thin stone veneer, cut from real fieldstone. A genuine maker, but the medium is stone veneer for siding and walls, with no pattern to design. Worth noting they already run a Stone Visualizer, so the tooling instinct is there, wrong product"
"Yellowstone Rock","yellowstonerock.com","high","US","Idaho Falls","LIKELY OUT","TISE 2027","LIKELY OUT","LIKELY OUT. The largest quarrier and fabricator of domestic travertine in the US, quarries in the Greater Yellowstone area, fabrication in Idaho Falls. Quarry plus fabricator. Raw stone, no pattern"
"i4F Patents & Technologies","i4f.com","high","NL","","EXCLUDE","TISE 2027","EXCLUDE","EXCLUDE. Not a product company at all. i4F licenses a portfolio of 2,000+ patents, mainly floor locking systems, to 100+ flooring manufacturers. There is no product, no pattern and no end customer. Nothing to plug a design tool into"
